Price,SqMeter,PrSqMtr,State,Year,Zone,Lat,Lon
234000,41,5707.31707317073,Excellent,1970,Turro,45.499,9.2217
280000,60,4666.66666666667,Good,1960,Precotto,45.5107,9.219
729000,185,3940.54054054054,Good,1960,Precotto,45.5157,9.224
230000,70,3285.71428571429,Poor,1970,Turro,45.4958,9.2293
249000,60,4150,Good,1930,Gorla,45.5054,9.2287
550000,100,5500,Good,2018,Villa San Giovanni,45.5222,9.2237
169000,50,3380,Fair,1950,Parco Trotter,45.4957,9.2264
400000,87,4597.70114942529,Poor,1970,Turro,45.5028,9.225
250000,40,6250,Excellent,-1,Precotto,45.5119,9.2201
168000,65,2584.61538461538,Fair,1960,Turro,45.4971,9.2286
695000,138,5036.23188405797,Excellent,2023,Villa San Giovanni,45.5192,9.2281
800000,190,4210.52631578947,Good,-1,Turro,45.5011,9.2212
800000,190,4210.52631578947,Good,-1,Precotto,45.5109,9.2178
139000,55,2527.27272727273,Fair,1960,Gorla,45.505,9.2325
250000,50,5000,Fair,1961,Turro,45.5013,9.223
399000,100,3990,Good,1950,Parco Trotter,45.495,9.2275
299000,90,3322.22222222222,Fair,-1,Gorla,45.5047,9.22451
245000,97,2525.77319587629,Fair,1960,Villa San Giovanni,45.5172,9.2202
320000,120,2666.66666666667,Good,-1,Turro,45.50141907,9.22025013
410000,81,5061.72839506173,Excellent,2024,Precotto,45.5162,9.224
195000,40,4875,Good,1913,Precotto,45.509,9.2231
149000,47,3170.21276595745,Excellent,1980,Gorla,45.506,9.2333
500000,100,5000,Good,2025,Precotto,45.5143,9.2194
550000,110,5000,Good,2025,Precotto,45.5143,9.2194
237000,90,2633.33333333333,N/A,-1,Precotto,45.5093,9.2244
274000,50,5480,Good,1990,Villa San Giovanni,45.5163,9.2256
320000,75,4266.66666666667,Excellent,2023,Precotto,45.5109,9.2187
559000,147,3802.72108843537,Fair,1980,Villa San Giovanni,45.5171,9.2231
320000,75,4266.66666666667,Good,2007,Villa San Giovanni,45.5167,9.225
295000,65,4538.46153846154,Good,2007,Villa San Giovanni,45.5167,9.225
265000,55,4818.18181818182,Good,2007,Villa San Giovanni,45.5167,9.225
255000,50,5100,Good,2007,Villa San Giovanni,45.5167,9.225
195000,53,3679.24528301887,Poor,2006,Gorla,45.5087,9.23
305000,54,5648.14814814815,Excellent,2024,Precotto,45.5162,9.224
355000,67,5298.50746268657,Excellent,2023,Precotto,45.5162,9.224
239000,45,5311.11111111111,Good,1967,Villa San Giovanni,45.5174,9.2246
540000,400,1350,Fair,1978,Villa San Giovanni,45.5175,9.2254
145000,40,3625,Fair,1970,Villa San Giovanni,45.5181,9.2229
69000,25,2760,Poor,1960,Precotto,45.50973129,9.22741032
37500,39,961.538461538462,N/A,-1,Parco Trotter,45.495,9.22732
398000,99,4020.20202020202,Excellent,2014,Rovereto,45.4976,9.2211
245000,53,4622.64150943396,Good,1960,Turro,45.4994,9.2233
195000,65,3000,Poor,1960,Precotto,45.51087952,9.21893024
265000,58,4568.96551724138,Good,2007,Gorla,45.5049,9.2292
59000,20,2950,Good,1960,Turro,45.4966,9.2296
269000,85,3164.70588235294,Fair,1990,Precotto,45.5102,9.23
329000,80,4112.5,Excellent,2023,Turro,45.5001,9.2259
410000,81,5061.72839506173,Excellent,2024,Precotto,45.5162,9.224
395000,81,4876.54320987654,Excellent,2024,Precotto,45.5162,9.224
635000,125,5080,Excellent,2024,Precotto,45.5162,9.224
625000,123,5081.30081300813,Excellent,2024,Precotto,45.5162,9.224
625000,123,5081.30081300813,Excellent,2024,Precotto,45.5162,9.224
395000,81,4876.54320987654,Excellent,2024,Precotto,45.5162,9.224
635000,125,5080,Excellent,2024,Precotto,45.5162,9.224
290000,54,5370.37037037037,Excellent,2024,Precotto,45.5162,9.224
680000,100,6800,Good,2008,Ponte Nuovo,45.5107,9.2321
340000,65,5230.76923076923,Fair,2012,Precotto,45.51194,9.22008991
260000,45,5777.77777777778,Poor,-1,Turro,45.4990387,9.22082996
535000,142,3767.60563380282,Fair,1970,Gorla,45.5052,9.2262
440000,115,3826.08695652174,Good,1970,Gorla,45.5079,9.2196
435000,104,4182.69230769231,Poor,1960,Turro,45.5033,9.2222
285000,68,4191.17647058824,Fair,-1,Precotto,45.511,9.2276
990000,360,2750,Fair,1970,Turro,45.5008,9.2232
270000,93,2903.22580645161,Good,1970,Villa San Giovanni,45.5228,9.2241
220000,75,2933.33333333333,Poor,1950,Gorla,45.505,9.229
297000,75,3960,Good,1955,Turro,45.5016,9.2243
197000,48,4104.16666666667,Good,1920,Precotto,45.5095,9.2236
536000,107,5009.34579439252,Excellent,2023,Villa San Giovanni,45.5192,9.2281
435000,105,4142.85714285714,Excellent,2023,Villa San Giovanni,45.5192,9.2281
521000,107,4869.15887850467,Excellent,2023,Villa San Giovanni,45.5192,9.2281
435000,102,4264.70588235294,Excellent,2023,Villa San Giovanni,45.5191,9.2283
340000,84,4047.61904761905,Excellent,2023,Villa San Giovanni,45.5192,9.2281
526000,105,5009.52380952381,Excellent,2023,Villa San Giovanni,45.5191,9.2283
354000,87,4068.96551724138,Excellent,2023,Villa San Giovanni,45.5191,9.2283
560000,126,4444.44444444444,Excellent,2023,Villa San Giovanni,45.5192,9.2281
189000,57,3315.78947368421,Poor,1970,Precotto,45.5105,9.219
539000,125,4312,Good,1973,Turro,45.4975,9.2252
620000,220,2818.18181818182,Good,1970,Turro,45.4959,9.2293
576300,113,5100,Excellent,-1,Precotto,45.5096,9.23
260000,70,3714.28571428571,Poor,1960,Turro,45.5017,9.2212
545700,107,5100,Excellent,-1,Precotto,45.5096,9.23
372400,76,4900,Excellent,-1,Precotto,45.5096,9.23
770100,151,5100,Excellent,-1,Precotto,45.5096,9.23
357200,76,4700,Excellent,-1,Precotto,45.5096,9.23
248000,50,4960,Good,1920,Gorla,45.5044,9.2228
389000,96,4052.08333333333,Fair,1950,Gorla,45.5047,9.2245
165000,52,3173.07692307692,Fair,1950,Gorla,45.505,9.2231
450000,100,4500,Good,1960,Turro,45.5018,9.2194
155000,52,2980.76923076923,Poor,1968,Villa San Giovanni,45.5168,9.2251
290000,67,4328.35820895522,Fair,1967,Villa San Giovanni,45.5192,9.2251
135000,38,3552.63157894737,Poor,1950,Villa San Giovanni,45.5194,9.2214
329000,92,3576.08695652174,Fair,1975,Gorla,45.5084,9.2193
259000,70,3700,Good,1970,Turro,45.4972,9.2296
285000,57,5000,Good,1930,Turro,45.5016,9.2244
399000,95,4200,Good,-1,Gorla,45.50767136,9.22385979
